FocalAOU,Competitor Estimate,Competior P-value,Competitor R2,Environment R2,Competitor_Environmnent P-value,Competitor_Environmnent R2,Focal Common Name,Competitor Common Name
3000,0.257858914,0.692177924,0.000293199,0.056792875,0.279659909,0.058868561,Ruffed Grouse,NA
2940,-7.5218218,0.015789777,0.028087411,0.091068116,0.037408041,0.110494541,California Quail,NA
2890,-2.755000139,0.350805653,0.000741558,0.069898664,0.026940948,0.073783188,Northern Bobwhite,Scaled Quail
2881,-0.632621943,0.147813928,0.01034147,0.038870312,0.492055801,0.041164673,Gray Partridge,Ruffed Grouse
3190,-154.4957065,1.58E-27,0.407876555,0.097934453,3.10E-24,0.433762551,White-winged Dove,Mourning Dove
3160,51.79337248,2.25E-11,0.017367258,0.087635374,2.10E-25,0.125645719,Mourning Dove,White-winged Dove
3200,-2.614373187,0.028106027,0.029234869,0.120441273,0.227328395,0.128492193,Common Ground-Dove,Inca Dove
3880,-1.256537038,1.00E-23,0.104935681,0.031862747,1.68E-24,0.137261284,Black-billed Cuckoo,Yellow-billed Cuckoo
3870,-6.923613882,3.58E-74,0.189987067,0.259523381,4.46E-15,0.287934987,Yellow-billed Cuckoo,Black-billed Cuckoo
4120,-2.317555504,2.47E-28,0.065974218,0.070210062,2.15E-34,0.145087019,Northern Flicker,Hairy Woodpecker
4020,-17.79829082,9.05E-100,0.547110903,0.105032436,5.96E-91,0.566906554,Yellow-bellied Sapsucker,Hairy Woodpecker
4090,-7.921680233,1.18E-13,0.035392619,0.148474783,4.36E-19,0.191875818,Red-bellied Woodpecker,Red-headed Woodpecker
3960,-1.338988836,0.032010144,0.026004923,0.100192459,0.001529318,0.151662083,Ladder-backed Woodpecker,Downy Woodpecker
3940,-0.860994528,5.84E-12,0.021225732,0.192351572,5.86E-19,0.220822745,Downy Woodpecker,Yellow-bellied Sapsucker
4021,-0.822153641,0.008321738,0.028891647,0.178492566,0.005762864,0.204878779,Red-naped Sapsucker,Williamson's Sapsucker
4060,-1.787040308,7.48E-16,0.054563122,0.018466848,6.17E-23,0.097744668,Red-headed Woodpecker,Northern Flicker
4320,-12.43759074,1.18E-06,0.101985377,0.244219761,0.000489696,0.285666442,Broad-tailed Hummingbird,Black-chinned Hummingbird
4290,-0.234719998,0.245733214,0.005139315,0.034350653,0.577559709,0.035513216,Black-chinned Hummingbird,Broad-tailed Hummingbird
4330,-3.25493658,1.67E-08,0.1617335,0.262106404,0.142564251,0.271040575,Rufous Hummingbird,Calliope Hummingbird
4470,-17.14688543,6.68E-14,0.063537982,0.132963134,3.57E-20,0.215008869,Western Kingbird,Say's Phoebe
4520,-13.3098179,5.85E-99,0.227345511,0.01641588,4.64E-115,0.272383147,Great Crested Flycatcher,Eastern Kingbird
4440,-4.949117406,4.85E-29,0.059635192,0.048731967,3.48E-61,0.16814064,Eastern Kingbird,Great Crested Flycatcher
4430,-21.8340567,5.98E-37,0.438384661,0.416948381,1.12E-18,0.560443091,Scissor-tailed Flycatcher,Eastern Kingbird
4560,-5.068192726,4.21E-57,0.143404905,0.045567528,3.20E-70,0.212303086,Eastern Phoebe,Great Crested Flycatcher
4570,-2.08493126,1.46E-10,0.07437404,0.073843904,1.34E-13,0.165211978,Say's Phoebe,Western Kingbird
4590,-1.101746008,0.000457597,0.021186402,0.075468056,0.000127928,0.098982584,Olive-sided Flycatcher,Western Kingbird
4540,-16.99100402,1.26E-12,0.140248286,0.052606651,1.38E-13,0.197609689,Ash-throated Flycatcher,Say's Phoebe
4610,-7.379452614,8.07E-71,0.173958364,0.128537221,3.46E-81,0.300901934,Eastern Wood-Pewee,Eastern Phoebe
4480,-10.12128362,7.30E-05,0.099247524,0.122856678,7.03E-07,0.258472633,Cassin's Kingbird,Ash-throated Flycatcher
4620,-8.095297942,2.64E-14,0.078585041,0.067467793,2.01E-16,0.152781779,Western Wood-Pewee,Say's Phoebe
4670,-0.33781399,0.644844745,0.00023591,0.088411313,0.000181229,0.102552713,Least Flycatcher,Alder Flycatcher
4641,-27.8026946,2.80E-25,0.434152014,0.268797646,2.87E-17,0.502470754,Pacific-slope Flycatcher,Western Wood-Pewee
4650,-11.49280522,2.55E-65,0.272555589,0.088787369,7.95E-92,0.420808942,Acadian Flycatcher,Eastern Wood-Pewee
4680,-6.094535638,4.24E-12,0.147655921,0.132710904,1.71E-20,0.351297074,Hammond's Flycatcher,Dusky Flycatcher
4691,-1.296883042,0.364291101,0.006192359,0.087897708,0.182756469,0.100410475,Gray Flycatcher,Dusky Flycatcher
4660,-1.831736848,1.95E-07,0.022528104,0.124862075,4.75E-06,0.140194372,Willow Flycatcher,Alder Flycatcher
6870,-1.378157789,0.031057394,0.004079381,0.04739597,2.30E-16,0.102332716,American Redstart,Least Flycatcher
4690,-5.719293937,1.18E-05,0.058502357,0.041574358,3.63E-06,0.104760769,Dusky Flycatcher,Hammond's Flycatcher
4640,-3.750360786,0.001229859,0.060104477,0.064154894,0.00176193,0.118183622,Cordilleran Flycatcher,Hammond's Flycatcher
4750,-12.39519028,1.78E-06,0.039822239,0.12706064,1.33E-13,0.20880263,Black-billed Magpie,Steller's Jay
4840,-2.84632875,1.95E-05,0.055137017,0.090122246,0.034682635,0.102816198,Gray Jay,Steller's Jay
4812,-16.49308837,8.87E-13,0.383734551,0.561234009,3.98E-05,0.628463731,Western Scrub-Jay,Steller's Jay
4770,-15.5707403,9.59E-11,0.022164317,0.05982167,8.70E-14,0.087449142,Blue Jay,Gray Jay
4780,-13.04669008,2.22E-16,0.173132244,0.154557017,3.08E-12,0.264094564,Steller's Jay,Clark's Nutcracker
4910,-2.205779023,0.002220359,0.037701074,0.067659448,0.002662299,0.102140629,Clark's Nutcracker,Gray Jay
4880,-9.358819122,0.072263863,0.001372419,0.217744282,2.48E-12,0.233917191,American Crow,Fish Crow
4900,-35.34526516,4.90E-127,0.644698318,0.106192735,6.54E-114,0.648368303,Fish Crow,American Crow
4980,-171.8570919,5.71E-107,0.17521202,0.052589444,5.08E-86,0.188184556,Red-winged Blackbird,Brown-headed Cowbird
5070,-9.779349044,2.11E-53,0.153264613,0.141569449,1.61E-27,0.210171851,Baltimore Oriole,Brown-headed Cowbird
4950,-0.017501464,0.990627666,5.38E-08,0.050824018,3.87E-06,0.058694451,Brown-headed Cowbird,Red-winged Blackbird
5080,-3.850614764,0.028913557,0.00874306,0.096712422,0.000414727,0.117342758,Bullock's Oriole,Baltimore Oriole
5060,-5.076490697,5.42E-58,0.173371695,0.108133312,2.12E-39,0.215141376,Orchard Oriole,Baltimore Oriole
5100,-18.06579362,3.86E-11,0.05422792,0.126749979,5.37E-13,0.183169642,Brewer's Blackbird,Red-winged Blackbird
4940,-28.65351359,1.19E-17,0.077788823,0.081748934,2.83E-11,0.125867295,Bobolink,Red-winged Blackbird
5011,-53.85900422,6.34E-22,0.083704188,0.37930625,2.32E-29,0.449440607,Western Meadowlark,Brewer's Blackbird
5010,-22.61498678,4.50E-44,0.111793299,0.04692812,2.16E-68,0.209645229,Eastern Meadowlark,Red-winged Blackbird
5110,-53.84992953,5.13E-35,0.07228184,0.176327777,4.29E-48,0.258219162,Common Grackle,Eastern Meadowlark
4970,-78.63927516,9.47E-10,0.080760483,0.124771794,1.82E-13,0.22607291,Yellow-headed Blackbird,Red-winged Blackbird
5220,-3.71884357,0.010234344,0.046491129,0.169568652,0.134070233,0.183312916,White-winged Crossbill,Red Crossbill
5210,-2.554003625,0.265014641,0.002992785,0.157493377,0.90010366,0.157525717,Red Crossbill,White-winged Crossbill
5180,-6.638038878,1.23E-17,0.239133585,0.078972401,5.05E-19,0.318602225,Cassin's Finch,House Finch
5330,-7.300912087,1.43E-06,0.034425886,0.105272524,0.018068018,0.112823667,Pine Siskin,Lesser Goldfinch
5300,-6.19420899,0.001981636,0.030436453,0.189488377,0.082089972,0.197469102,Lesser Goldfinch,Pine Siskin
5580,-32.32611644,2.92E-37,0.336551783,0.19875829,2.30E-26,0.39899968,White-throated Sparrow,Savannah Sparrow
5870,-12.04873432,2.95E-94,0.257394089,0.140984933,1.43E-61,0.291646558,Eastern Towhee,Song Sparrow
5810,-29.57892291,7.63E-86,0.18449711,0.244306063,1.12E-114,0.425770748,Song Sparrow,Chipping Sparrow
5630,-10.55008709,4.70E-67,0.190097512,0.103468714,4.28E-73,0.288406745,Field Sparrow,Chipping Sparrow
5610,-30.30428814,4.19E-17,0.159965439,0.329467624,7.53E-05,0.355138743,Clay-colored Sparrow,Savannah Sparrow
6050,-86.71424031,1.19E-15,0.265672858,0.239016165,2.42E-13,0.415308298,Lark Bunting,Lark Sparrow
5600,-8.638882736,2.92E-22,0.042185267,0.222394713,2.40E-15,0.244437969,Chipping Sparrow,Savannah Sparrow
5780,-38.9332106,4.94E-12,0.21082551,0.288861936,1.99E-05,0.35144581,Cassin's Sparrow,Lark Sparrow
5480,-2.503678142,0.019669515,0.03416881,0.186350801,0.233603602,0.193885426,Le Conte's Sparrow,Savannah Sparrow
5520,-6.689430514,0.000880034,0.012211714,0.212681358,1.06E-06,0.233320706,Lark Sparrow,Baird's Sparrow
5460,-12.12433042,8.23E-76,0.231310921,0.042233926,9.58E-98,0.319788016,Grasshopper Sparrow,Chipping Sparrow
5850,-9.543708457,3.94E-05,0.066258567,0.118592161,0.008559314,0.143362097,Fox Sparrow,White-crowned Sparrow
5540,-5.425836538,0.067398687,0.010255997,0.107235945,0.017615332,0.122792479,White-crowned Sparrow,Fox Sparrow
5840,0.459455769,0.185830587,0.002812395,0.045009578,0.26856927,0.046900733,Swamp Sparrow,White-throated Sparrow
5730,-21.74225917,0.033826307,0.021469451,0.214913444,0.012509086,0.238610996,Black-throated Sparrow,Black-chinned Sparrow
5400,-22.26528404,1.14E-101,0.335919176,0.188286638,1.16E-83,0.42031472,Vesper Sparrow,Song Sparrow
5900,-12.29081456,5.17E-13,0.180763957,0.045618553,6.80E-12,0.205095811,Green-tailed Towhee,Spotted Towhee
5880,-11.12429504,1.27E-12,0.093960232,0.038600016,9.96E-17,0.161001341,Spotted Towhee,Green-tailed Towhee
5950,-3.532836947,3.24E-40,0.154434661,0.079227187,6.89E-51,0.257449143,Rose-breasted Grosbeak,Northern Cardinal
5970,0.398091261,0.415574293,0.000588718,0.181599419,2.91E-31,0.274576153,Blue Grosbeak,Northern Cardinal
5960,-6.239955359,2.65E-10,0.069698254,0.121291799,1.63E-07,0.164154591,Black-headed Grosbeak,Blue Grosbeak
6040,-45.29181933,4.32E-40,0.181032423,0.154288037,2.75E-92,0.473639105,Dickcissel,Indigo Bunting
5930,4.497113927,0.238813673,0.000828312,0.192389396,2.23E-06,0.203140083,Northern Cardinal,Blue Grosbeak
6010,-36.84556646,5.89E-31,0.430801234,0.379699011,3.14E-14,0.515387715,Painted Bunting,Blue Grosbeak
5980,-3.103777808,0.136163638,0.001308955,0.365957184,5.88E-06,0.373604437,Indigo Bunting,Blue Grosbeak
6100,-5.222877757,0.00036939,0.01581452,0.17559845,0.76643659,0.175690345,Summer Tanager,Hepatic Tanager
6070,-9.629354733,0.005570374,0.01451639,0.095618969,0.671114998,0.095931591,Western Tanager,Hepatic Tanager
6080,-2.515880265,2.92E-10,0.032790481,0.137997433,6.24E-05,0.149553721,Scarlet Tanager,Summer Tanager
6160,-24.3289484,2.60E-48,0.224145763,0.013956908,3.58E-55,0.264103723,Bank Swallow,Tree Swallow
6170,-5.057322172,1.14E-47,0.1006313,0.016427233,6.17E-50,0.120222978,Northern Rough-winged Swallow,Barn Swallow
6130,-8.088743081,4.13E-09,0.013930676,0.184254339,0.000150682,0.189004471,Barn Swallow,Bank Swallow
6140,0.400166238,0.459363529,0.000277219,0.070916956,0.215357623,0.071640439,Tree Swallow,Bank Swallow
6120,-82.13099444,1.09E-66,0.154971317,0.033024656,1.36E-72,0.195641664,Cliff Swallow,Barn Swallow
6150,-12.32803345,1.63E-12,0.082900447,0.087391889,4.01E-14,0.174115137,Violet-green Swallow,Barn Swallow
7030,-22.04743085,6.42E-12,0.028862362,0.244903148,1.35E-25,0.294568395,Northern Mockingbird,Loggerhead Shrike
6280,-0.807748035,0.005175407,0.006458211,0.018569676,0.000191819,0.029856681,Yellow-throated Vireo,Red-eyed Vireo
6290,-15.40683766,2.60E-35,0.222977662,0.013206513,1.02E-44,0.287084255,Blue-headed Vireo,Red-eyed Vireo
6310,-12.91735655,3.45E-47,0.204573162,0.187324708,4.20E-25,0.277989681,White-eyed Vireo,Red-eyed Vireo
6270,-10.62568494,3.34E-68,0.165489033,0.077317806,2.65E-68,0.230555002,Warbling Vireo,Red-eyed Vireo
6240,-32.88843303,1.92E-108,0.230643795,0.090280401,6.09E-179,0.412232422,Red-eyed Vireo,Warbling Vireo
6292,-2.717045646,0.000996259,0.059212842,0.141897869,0.054517665,0.15998794,Cassin's Vireo,Warbling Vireo
6330,-6.719281778,5.58E-08,0.081846945,0.21867754,0.049864132,0.227427519,Bell's Vireo,Warbling Vireo
6291,-8.61927992,5.60E-14,0.241415959,0.202849671,2.79E-09,0.331611071,Plumbeous Vireo,Warbling Vireo
6590,-16.59938523,4.45E-74,0.400236559,0.135692285,8.23E-82,0.510958987,Chestnut-sided Warbler,Yellow Warbler
6520,-11.37271102,2.76E-43,0.092541294,0.043290177,8.69E-59,0.162979304,Yellow Warbler,Common Yellowthroat
6370,-0.806680241,0.05270431,0.009281536,0.164550774,4.08E-06,0.207889242,Prothonotary Warbler,Yellow-throated Warbler
6730,-7.67491028,9.18E-47,0.259144041,0.147529753,1.72E-31,0.301636567,Prairie Warbler,Common Yellowthroat
6670,-8.82965361,1.73E-48,0.312935025,0.012648306,6.40E-75,0.453796284,Black-throated Green Warbler,Yellow Warbler
6810,-7.173193527,1.79E-19,0.03550368,0.165682861,2.44E-11,0.18205601,Common Yellowthroat,Yellow Warbler
6710,-19.75012343,5.53E-125,0.461860309,0.096680666,8.01E-110,0.476563538,Pine Warbler,Common Yellowthroat
6850,-20.53418777,1.01E-27,0.234997806,0.063192487,8.15E-23,0.247797767,Wilson's Warbler,Yellow Warbler
6480,-11.23409772,5.87E-110,0.355107614,0.049477473,5.35E-106,0.378010921,Northern Parula,Common Yellowthroat
6630,-1.450658367,0.000158687,0.026632664,0.053070498,3.94E-08,0.106018966,Yellow-throated Warbler,Prothonotary Warbler
6740,-41.01267139,1.80E-174,0.500157384,0.059595197,1.98E-199,0.576025769,Ovenbird,Common Yellowthroat
6360,-0.38789664,0.085493978,0.002981146,0.041805661,0.951837343,0.041809205,Black-and-white Warbler,Pine Warbler
6760,-0.230394578,0.012683101,0.009114844,0.050144768,2.31E-07,0.087087065,Louisiana Waterthrush,Kentucky Warbler
6770,-2.151381662,8.23E-10,0.054761748,0.151237198,4.01E-08,0.188823395,Kentucky Warbler,Louisiana Waterthrush
6410,-2.095055773,2.59E-09,0.06908541,0.04271335,8.32E-12,0.129461806,Blue-winged Warbler,Common Yellowthroat
6390,-6.009072305,4.50E-42,0.336371376,0.024873214,1.64E-45,0.377594432,Worm-eating Warbler,Common Yellowthroat
6650,-4.375172817,1.24E-07,0.115185842,0.148222505,4.67E-14,0.338809649,Black-throated Gray Warbler,Yellow Warbler
6460,-19.90607341,1.25E-27,0.235662429,0.097022811,1.05E-23,0.282747405,Orange-crowned Warbler,Yellow Warbler
6620,-6.671270596,2.19E-50,0.42990275,0.055402881,1.10E-50,0.466421191,Blackburnian Warbler,Yellow Warbler
6790,-10.82041625,5.08E-67,0.506528511,0.175691293,1.35E-50,0.516470422,Mourning Warbler,Yellow Warbler
6450,-22.49242115,1.41E-57,0.422757707,0.03459133,1.42E-57,0.445357822,Nashville Warbler,Yellow Warbler
6800,-7.024140376,2.90E-12,0.133772717,0.23144361,1.13E-12,0.339041894,MacGillivray's Warbler,Yellow Warbler
6860,-0.580696172,0.084110836,0.009323968,0.126924082,0.706174933,0.12731855,Canada Warbler,Magnolia Warbler
6570,-15.91017948,5.71E-32,0.292931719,0.0732861,4.46E-29,0.324846127,Magnolia Warbler,American Redstart
6540,-7.880628419,2.16E-33,0.352555577,0.087252175,9.15E-28,0.364436337,Black-throated Blue Warbler,American Redstart
6840,-10.79119542,2.07E-111,0.525104526,0.14496816,1.69E-89,0.530355616,Hooded Warbler,Common Yellowthroat
6380,-0.133668628,0.475110157,0.003077211,0.052420325,0.225949474,0.060983944,Swainson's Warbler,Kentucky Warbler
6882,155.2019433,0.024505535,0.002269369,0.062254528,0.768991828,0.062290921,House Sparrow,Eurasian Tree Sparrow
7050,-3.538669995,1.08E-53,0.12479044,0.191205154,6.64E-56,0.296361947,Brown Thrasher,Gray Catbird
7040,-6.887908826,1.48E-21,0.046821606,0.194100034,1.12E-05,0.202277417,Gray Catbird,Northern Mockingbird
7020,-12.15822829,0.00525482,0.035339712,0.03467001,0.003732535,0.072125923,Sage Thrasher,Northern Mockingbird
7210,2.12177807,0.137494971,0.001171661,0.074418978,0.281550125,0.074990464,House Wren,Sedge Wren
7180,-23.06159294,7.01E-147,0.406800268,0.318028314,2.46E-65,0.457705642,Carolina Wren,House Wren
7190,-6.354924481,0.000256562,0.031953425,0.192382968,0.00522415,0.207694918,Bewick's Wren,Rock Wren
7150,-3.262733852,2.30E-08,0.064077049,0.074349346,1.42E-08,0.135886,Rock Wren,House Wren
7222,-7.820933658,4.13E-37,0.327376118,0.073846104,1.40E-34,0.361454578,Winter Wren,House Wren
7221,-19.96745692,1.33E-09,0.199180582,0.21131155,1.18E-06,0.318544692,Pacific Wren,House Wren
7240,-8.831146748,5.65E-27,0.245012404,0.163194489,1.50E-16,0.292099334,Sedge Wren,House Wren
7280,-4.551764354,3.66E-08,0.034119563,0.071065768,1.58E-07,0.099970535,Red-breasted Nuthatch,Brown Creeper
7260,-0.455051571,0.037262476,0.006729584,0.023236022,0.005922022,0.034753923,Brown Creeper,Red-breasted Nuthatch
7270,0.410420462,0.335698812,0.000520678,0.037650352,0.012567977,0.041020616,White-breasted Nuthatch,Pygmy Nuthatch
7360,-10.93076729,3.15E-24,0.115851318,0.048886777,6.18E-29,0.180964485,Carolina Chickadee,Tufted Titmouse
7350,-8.672439667,1.85E-07,0.020063529,0.180871028,0.534665945,0.181107096,Black-capped Chickadee,Boreal Chickadee
7310,11.32180614,3.68E-18,0.053438014,0.224810026,4.42E-05,0.234189074,Tufted Titmouse,Carolina Chickadee
7380,-9.456862064,7.63E-06,0.058800465,0.131159381,0.177587675,0.135982958,Mountain Chickadee,Juniper Titmouse
7430,-0.681073529,0.253192395,0.004710748,0.290816276,0.594278581,0.291554253,Bushtit,Chestnut-backed Chickadee
7480,-2.577212207,1.63E-05,0.038152717,0.046525398,3.75E-11,0.130653992,Golden-crowned Kinglet,Ruby-crowned Kinglet
7510,-4.298339466,0.040876299,0.002816354,0.168620616,0.055555686,0.170679124,Blue-gray Gnatcatcher,Black-tailed Gnatcatcher
7680,-7.138899873,1.19E-08,0.07813822,0.035214103,5.04E-09,0.11508045,Mountain Bluebird,Townsend's Solitaire
7550,-6.437526747,1.14E-23,0.067437735,0.161171525,4.26E-53,0.287885784,Wood Thrush,American Robin
7560,-1.888503237,0.033286022,0.005855769,0.036798783,0.07518745,0.040763852,Veery,Hermit Thrush
7590,-3.705718848,0.000948667,0.012778346,0.115384963,4.52E-12,0.164091356,Hermit Thrush,Swainson's Thrush
7610,-53.07445822,1.04E-46,0.08048934,0.359045645,4.26E-58,0.423142041,American Robin,Wood Thrush
7660,-7.083203014,7.20E-46,0.109460045,0.263416154,3.08E-70,0.385034909,Eastern Bluebird,Wood Thrush
7580,-39.39271793,1.94E-43,0.293580073,0.258574269,7.65E-24,0.384302191,Swainson's Thrush,Hermit Thrush
7540,-1.087844754,0.002037117,0.032780713,0.157877325,0.099622463,0.165950188,Townsend's Solitaire,Hermit Thrush
7670,-3.573652969,1.47E-08,0.12208847,0.151439479,8.69E-07,0.232028531,Western Bluebird,Hermit Thrush
